District,Constituency,Name,Political Party,Votes
,KISORO MUNICIPALITY,MUKANKWAYA  SULTANA,NUP,106
KISORO,KISORO MUNICIPALITY,MUGISHA  ENOCK,INDEPENDENT,18
KITAGWENDA,KITAGWENDA COUNTY,BYAMUKAMA  NULU JOSEPH,NRM,27538
,KITAGWENDA COUNTY,AGABA  ABBAS MUGISHA,INDEPENDENT,17475
,KITAGWENDA COUNTY,MWAMBUSYA  JOHN KABALEBE,ANT,1164
,KITAGWENDA COUNTY,SPENCER  GEORGE WILLIAM,INDEPENDENT,370
,KITAGWENDA COUNTY,ABAINE  JONATHAN BUREGYEYA,INDEPENDENT,302
,KITAGWENDA COUNTY,MUSINGUZI  EVAN,FDC,262
KITGUM,CHUA EAST COUNTY,LAMWAKA MARGARET,INDEPENDENT,9195
,CHUA EAST COUNTY,LUWO GODFREY,NRM,6572
,CHUA EAST COUNTY,ONENCAN ROBINSON,INDEPENDENT,2784
,CHUA EAST COUNTY,OYET SILVER OKENY,INDEPENDENT,1864
,CHUA EAST COUNTY,ONEN CHARLES SSALI,INDEPENDENT,983
,CHUA EAST COUNTY,LAMAKIO CELEST ODONGA,INDEPENDENT,390
KITGUM,CHUA WEST COUNTY,OKIN  P.P OJARA,FDC,11368
,CHUA WEST COUNTY,OTIM  BOSMIC JOYCE,NRM,7239
,CHUA WEST COUNTY,OLOYA  JOIHNSON NYEKO,INDEPENDENT,546
,CHUA WEST COUNTY,OTTO  MIKE,INDEPENDENT,316
KITGUM,CHUA WEST COUNTY,OCAYA  CHARLES,INDEPENDENT,275
KITGUM,KITGUM MUNICIPALITY,ONEKA LIT DENIS AMERE,FDC,3263
,KITGUM MUNICIPALITY,ATIM BEATRICE ANYWAR,NRM,3052
,KITGUM MUNICIPALITY,OLENGE JIMMY KOMAKECH OLANYA,UPC,3045
,KITGUM MUNICIPALITY,ORYEM HENRY KISSINGER,INDEPENDENT,1297
,KITGUM MUNICIPALITY,AGECH ALBERT GLADSTONE SMOKE,DP,149
KOBOKO,KOBOKO COUNTY,BABA  JAMES BOLIBA,NRM,10609
,KOBOKO COUNTY,BAIGA  RONALD,INDEPENDENT,5317
,KOBOKO COUNTY,NGINYA  HASSAN SAID,INDEPENDENT,4017
,KOBOKO COUNTY,ONZIMA  DONALD DEGASON,INDEPENDENT,2861
,KOBOKO COUNTY,DRONYI  DAVID RIKAZUBE,INDEPENDENT,496
,KOBOKO COUNTY,YUGA  JUMA ONZIGA,INDEPENDENT,411
KOBOKO,KOBOKO MUNICIPALITY,AYUME  CHARLES,NRM,7645
,KOBOKO MUNICIPALITY,YAKANI  CHARLES,INDEPENDENT,3400
KOBOKO,KOBOKO NORTH COUNTY,MUSA  NOAH,INDEPENDENT,7037
,KOBOKO NORTH COUNTY,ASIKU  ELIAS ELLY,NRM,6720
,KOBOKO NORTH COUNTY,OCCUR  RASUL,FDC,476
KOLE,KOLE NORTH COUNTY,OPIO  SAMUEL ACUTI,INDEPENDENT,16334
,KOLE NORTH COUNTY,OKELLO  BONNY DESALES,NRM,9632
,KOLE NORTH COUNTY,MUNU  DAVID DEO,INDEPENDENT,3242
,KOLE NORTH COUNTY,OGWANG  DICKENS,INDEPENDENT,2011
,KOLE NORTH COUNTY,OGWANG  PETER,UPC,1589
KOLE,KOLE SOUTH COUNTY,OCEN  PETER,INDEPENDENT,12926
,KOLE SOUTH COUNTY,RWANKOTE  DEAN DENIS,INDEPENDENT,10878
,KOLE SOUTH COUNTY,ALULA  DAVID,NRM,7548
,KOLE SOUTH COUNTY,EBIL  FRED,UPC,3191
,KOLE SOUTH COUNTY,OGWENG  EDDY MORRIS,INDEPENDENT,812
,KOLE SOUTH COUNTY,AMANGOLE  BOSCO,ANT,103
KOTIDO,JIE COUNTY,LOKII  PETER ABRAHAMS,NRM,14914
,JIE COUNTY,LOCHAP  PAUL,INDEPENDENT,13866
KOTIDO,KOTIDO MUNICIPALITY,ISMAIL  MUHAMMAD LOMWAR,NRM,7260
,KOTIDO MUNICIPALITY,ADOME  BILDAD MOSES,INDEPENDENT,5575
KUMI,KANYUM COUNTY,OPOLOT  SIMON PETER OKWALINGA,NRM,17660
,KANYUM COUNTY,OROT  ISMAEL,INDEPENDENT,3904
KUMI,KANYUM COUNTY,ODONG  CHARLES,FDC,1869
,KANYUM COUNTY,ASIO  MARCELINA,INDEPENDENT,1162
KUMI,KUMI COUNTY,OKAASAI  SIDRONIUS OPOLOT,NRM,15491
,KUMI COUNTY,OPIO  SOLOMON,INDEPENDENT,8991
,KUMI COUNTY,OBILAN  SIMON PETER,INDEPENDENT,2655
,KUMI COUNTY,OBORE  GODFREY,INDEPENDENT,2096
,KUMI COUNTY,EMORUT  SAM,FDC,1650
,KUMI COUNTY,ILAKUT  JOHN CHARLES,DP,710
,KUMI COUNTY,OSAMA  TWALIB,NUP,195
KUMI,KUMI MUNICIPALITY,AOGON  SILAS,INDEPENDENT,6168
,KUMI MUNICIPALITY,OONYU  MAHMOOD ONYI,INDEPENDENT,3069
,KUMI MUNICIPALITY,AMONGIN  APORU CHRISTINE HELLEN,NRM,1693
,KUMI MUNICIPALITY,OMALINGA  SIMON PETER,INDEPENDENT,636
,KUMI MUNICIPALITY,OCEN  ROBERT,FDC,172
,KUMI MUNICIPALITY,ODONG  JACKSON,INDEPENDENT,107
,KUMI MUNICIPALITY,IMALINGAT  MARTIN,NUP,72
,KUMI MUNICIPALITY,OLUKA  GODFREY,INDEPENDENT,63
KUMI,KUMI MUNICIPALITY,ANGURIA  ALEXANDER,INDEPENDENT,44
KWANIA,KWANIA COUNTY,AYOO  TONNY,NRM,8216
,KWANIA COUNTY,OMARA  INNOCENT    DAVID,UPC,8036
,KWANIA COUNTY,OKELLO  JIMMY EMMANUEL ECUM,INDEPENDENT,2956
,KWANIA COUNTY,ADUPA  PATRICK NELSON,INDEPENDENT,2668
,KWANIA COUNTY,OGUTI  GEOFFREY OJEDE,INDEPENDENT,1162
,KWANIA COUNTY,ADIGA  ODUR ANDREW,FDC,404
,KWANIA COUNTY,OGWAL  EMMANUEL AGWENO,INDEPENDENT,215
KWANIA,KWANIA NORTH COUNTY,OKAE  BOB,UPC,14907
,KWANIA NORTH COUNTY,ONGU  JAMES,NRM,13406
,KWANIA NORTH COUNTY,OMARA  CHRISTOPHER,INDEPENDENT,2152
,KWANIA NORTH COUNTY,ERACH  ANDREW,INDEPENDENT,455
KWEEN,KWEEN COUNTY,CHEMONGES  WILLIAM,NRM,19069
,KWEEN COUNTY,YEKO  CALVIN,FDC,9799
KWEEN,SOI COUNTY,CHEMASWET  ABDI FADHIL KISOS,NRM,1984
,SOI COUNTY,MALINGA  ISAAC MAIKUT,INDEPENDENT,1682
,SOI COUNTY,SATYA  PETER,INDEPENDENT,770
KYAKWANZI,BUTEMBA COUNTY,BINGI  PATRICK   NYANZI,NRM,12411
,BUTEMBA COUNTY,KAMUSIIME  INNOCENT PENTAGON,INDEPENDENT,11336
,BUTEMBA COUNTY,MPEIRWE  MICHAEL   KATUNGI,INDEPENDENT,6033
,BUTEMBA COUNTY,MAWETO  JACKSON,NUP,3351
,BUTEMBA COUNTY,BAREKYE  DANIEL,INDEPENDENT,461
,BUTEMBA COUNTY,LUBONERA  YOWEL,INDEPENDENT,256
KYAKWANZI,NTWETWE COUNTY,SSEBIKAALI  YOWEERI,NRM,13466
,NTWETWE COUNTY,SSEKAJJA  RONALD,INDEPENDENT,7832
,NTWETWE COUNTY,MANDE  EDWARD,NUP,6918
,NTWETWE COUNTY,KKONDE  WILSON,INDEPENDENT,1113
KYEGEGWA,KYAKA CENTRAL COUNTY,BRIGHT  TOM AMOOTI,NRM,15956
,KYAKA CENTRAL COUNTY,BIRIHARIIWE  ERYEZA,INDEPENDENT,8983
,KYAKA CENTRAL COUNTY,MUKAMA  JOVAN,FDC,173
,KYAKA CENTRAL COUNTY,BYEKWASO  MOSES,DP,132
KYEGEGWA,KYAKA NORTH COUNTY,ASABA  NSABIMANA PAUL,NRM,16731
,KYAKA NORTH COUNTY,KAHEERU  VINCENT FREEDOM,INDEPENDENT,15392
KYEGEGWA,KYAKA SOUTH COUNTY,KAFUUZI JACKSON KARUGABA,NRM,
KYENJOJO,MWENGE CENTRAL COUNTY,BUTIME  TOM ATEENYI,NRM,20428
,MWENGE CENTRAL COUNTY,MUSIIME  WILSON,INDEPENDENT,10551
,MWENGE CENTRAL COUNTY,MUHUMUZA  SIMON KATEEBA,INDEPENDENT,1612
,MWENGE CENTRAL COUNTY,BAMUGAYA  JEROME BARRY,INDEPENDENT,622
,MWENGE CENTRAL COUNTY,KALIBA  SAMUEL MURORWA,FDC,513
,MWENGE CENTRAL COUNTY,BUSINGE  WILSON,ANT,239
KYENJOJO,MWENGE COUNTY NORTH,MUHUMUZA DAVID,NRM,19933
,MWENGE COUNTY NORTH,AKUGUZIBWE LAWRENCE,INDEPENDENT,17754
,MWENGE COUNTY NORTH,MURIMBANYI PROTASE,INDEPENDENT,375
,MWENGE COUNTY NORTH,NATUKUNDA INNICENT BITARIHO,NUP,127
KYENJOJO,MWENGE COUNTY SOUTH,KATALIHWA  DONALD BYABAZAIRE,NRM,36921
,MWENGE COUNTY SOUTH,MUGISHA  VICENT,INDEPENDENT,12496
,MWENGE COUNTY SOUTH,KAGANDA  DAVID BUSINGE,INDEPENDENT,7550
,MWENGE COUNTY SOUTH,KYOMYA  WILLIAM,NUP,1246
,MWENGE COUNTY SOUTH,KALIIJA  JAMES,FDC,1167
,MWENGE COUNTY SOUTH,AKUGIZIBWE  MOSES,ANT,600
KYOTERA,KAKUUTO COUNTY,LUTAAYA  GEOFREY,NUP,10065
KYOTERA,KAKUUTO COUNTY,KALEMBA  CHRISTOPHER,NRM,8313
,KAKUUTO COUNTY,NJUBA  CHARLES NSIMBE,INDEPENDENT,1922
,KAKUUTO COUNTY,LUBEGA  ISMAIL UTHUMAN,INDEPENDENT,1871
,KAKUUTO COUNTY,LUBEGA  DRAKE FRANCIS,DP,550
,KAKUUTO COUNTY,KALULE  FREDRICK ROBERT,INDEPENDENT,135
,KAKUUTO COUNTY,SEWANYANA  RICHARD,ANT,82
KYOTERA,KYOTERA COUNTY,LUKWAGO  JOHN PAUL MPALANYI,DP,28230
,KYOTERA COUNTY,KYEYUNE  HARUNA KASOLO,NRM,20431
,KYOTERA COUNTY,KIRUMIRA  CHARLES LWANGA,NUP,4004
,KYOTERA COUNTY,TEBAJWA  ADAM,JEEMA,430
,KYOTERA COUNTY,SSALI  LIVING STONE,INDEPENDENT,277
,KYOTERA COUNTY,NDALIKE  SELEGIOUS,INDEPENDENT,59
LAMWO,LAMWO COUNTY,OKULLO  AABUKA JALLON ANTHONY,NRM,16393
,LAMWO COUNTY,OKETAYOT  THOMAS,INDEPENDENT,3358
,LAMWO COUNTY,OGWOK  JOHN KOMAKECH,FDC,3303
,LAMWO COUNTY,LUCIMA  OKELLO GEORGE,INDEPENDENT,1854
,LAMWO COUNTY,AMENA  OLOYA CHARLES LAWINYO,NUP,628
LAMWO,LAMWO COUNTY,KANTO  JOSEPH OCHEN,INDEPENDENT,293
LAMWO,PALABEK COUNTY,ONEK HILARY OBALOKER,NRM,
LIRA,ERUTE COUNTY NORTH,AKELLO  CHRISTINE,NRM,14372
,ERUTE COUNTY NORTH,ABAC ACON  CHARLES ANGIRO GUTOMOI,FDC,9245
,ERUTE COUNTY NORTH,EBONG  JIMMY SAM,INDEPENDENT,3520
,ERUTE COUNTY NORTH,OMARA  GEOFFREY ADIGI,NRM,0
,ERUTE COUNTY NORTH,OPIO  CHARLES BONNY,UPC,0
LIRA,ERUTE COUNTY SOUTH,ODUR  JONATHAN,UPC,17763
,ERUTE COUNTY SOUTH,ENGOLA  SAM,NRM,15606
,ERUTE COUNTY SOUTH,ADUPA  JOHNSON OREC,INDEPENDENT,787
,ERUTE COUNTY SOUTH,ETII  CAXTON,INDEPENDENT,328
LIRA CITY,LIRA EAST DIVISION,AKENA  JAMES MICHAEL JIMMY,UPC,14119
,LIRA EAST DIVISION,OCEN  JAMES,INDEPENDENT,7222
,LIRA EAST DIVISION,ONYANGO  APOLLO,NRM,2881
,LIRA EAST DIVISION,AKENA  PATRICK ROLEX,INDEPENDENT,2042
,LIRA EAST DIVISION,ETIANG  MOSES,INDEPENDENT,1267
,LIRA EAST DIVISION,ONGOM  ISAAC INNOCENT,INDEPENDENT,204
LIRA CITY,LIRA EAST DIVISION,AROMA  PATRICK,INDEPENDENT,137
LIRA CITY,LIRA WEST DIVISION,OBONG  VINCENT SHEDRICK,INDEPENDENT,9185
,LIRA WEST DIVISION,EKWANG  HENRY CILODYANG,UPC,7259
,LIRA WEST DIVISION,OKAO  JOEL,FDC,2619
,LIRA WEST DIVISION,AWICH  POLLAR OKWIR,NRM,2305
,LIRA WEST DIVISION,OBUA  OGWAL BENSON,INDEPENDENT,1089
,LIRA WEST DIVISION,OJUKA  ANTHONY,INDEPENDENT,1071
,LIRA WEST DIVISION,OPIO  PATRICK,NUP,397
,LIRA WEST DIVISION,OKELLO  DENIS BLAIR ODONGO,INDEPENDENT,340
,LIRA WEST DIVISION,AYO  SAMUEL GEORGE OLYET,ANT,248
,LIRA WEST DIVISION,OBWOL  TONNY WALTER,INDEPENDENT,232
,LIRA WEST DIVISION,OKELLO  AYOKA SIMON,INDEPENDENT,210
,LIRA WEST DIVISION,OLARA  EDWARD SILAS,INDEPENDENT,134
LUUKA,LUUKA NORTH COUNTY,KYOBE  LUKE INYENSIKO,NRM,16159
,LUUKA NORTH COUNTY,BAGOOLE  NGOBI JOHN,INDEPENDENT,10782
,LUUKA NORTH COUNTY,WAMBI  PETER,NUP,1620
,LUUKA NORTH COUNTY,NTAMBAZI  NATHAN,INDEPENDENT,432
LUUKA,LUUKA NORTH COUNTY,MUYOMBA  HENRY,FDC,102
LUUKA,LUUKA SOUTH COUNTY,KISA  STEPHEN BAKUBALWAYO,NRM,16910
,LUUKA SOUTH COUNTY,KIDHUGUDHU  LUCY LANYERO,INDEPENDENT,6214
,LUUKA SOUTH COUNTY,MULIKO  IKANZA PAUL JULIUS,INDEPENDENT,4424
,LUUKA SOUTH COUNTY,NAMUFUMBA  PENINAH WINFRED,INDEPENDENT,2207
,LUUKA SOUTH COUNTY,KAWANGUZI  SOWEDI BILALI,EPU,1895
,LUUKA SOUTH COUNTY,KIIRYA  DANIEL NGOBI,FDC,558
,LUUKA SOUTH COUNTY,TENYWA  NOAH,ANT,272
LUWERO,BAMUNANIKA COUNTY,SSEKITOLEEKO  ROBERT,NUP,27850
,BAMUNANIKA COUNTY,MUYINGO  JOHN CHRYSESTOM,NRM,24463
,BAMUNANIKA COUNTY,MUYINGO  RONALD,INDEPENDENT,1424
,BAMUNANIKA COUNTY,MATOVU  MOSES,ANT,483
,BAMUNANIKA COUNTY,KALYESUBULA  ALEX,FDC,422
LUWERO,KATIKAMU COUNTY NORTH,SEKABIRA  DENES,NUP,18716
,KATIKAMU COUNTY NORTH,GADDAFI  NASSUR,NRM,10771
,KATIKAMU COUNTY NORTH,NDAWULA  RONALD,INDEPENDENT,7006
,KATIKAMU COUNTY NORTH,SSEBYALA  CHARLES,DP,4917
LUWERO,KATIKAMU COUNTY NORTH,MAKAIRE  FREDRICK,INDEPENDENT,3416
,KATIKAMU COUNTY NORTH,KIZZA  RONALD SSENYANGE,INDEPENDENT,655
,KATIKAMU COUNTY NORTH,KASAGGA  RONALD BAZANYANENGO,FIL,122
LUWERO,KATIKAMU COUNTY SOUTH,KIRUMIRA  HASSAN,NUP,21197
,KATIKAMU COUNTY SOUTH,MUWANGA  ALFRED,INDEPENDENT,9798
,KATIKAMU COUNTY SOUTH,MAGARA  PATRICIA,NRM,8132
,KATIKAMU COUNTY SOUTH,KALUME  ABUBAKER,INDEPENDENT,6528
,KATIKAMU COUNTY SOUTH,SSEMBATYA  EDWARD NDAWULA,INDEPENDENT,1659
,KATIKAMU COUNTY SOUTH,KABAALE  ALLAN,INDEPENDENT,666
,KATIKAMU COUNTY SOUTH,SSEMAKULA  GEORGE,DP,554
,KATIKAMU COUNTY SOUTH,SSENABULYA  ALEX NATHAN,INDEPENDENT,297
LWENGO,BUKOTO COUNTY MID-WEST,SSEJJOBA  ISAAC,NRM,12927
,BUKOTO COUNTY MID-WEST,MUYOMBA  JOSEPH KASOZI,INDEPENDENT,9015
,BUKOTO COUNTY MID-WEST,NABALAMBA  ASMAT,JEEMA,7716
,BUKOTO COUNTY MID-WEST,SSEMAGANDA  NICHOLAS,NUP,3326
,BUKOTO COUNTY MID-WEST,PRINCE  ARTHUR SSAJJABI,INDEPENDENT,335
LWENGO,BUKOTO COUNTY WEST,SSENTAYI  MUHAMAD,NRM,12882
LWENGO,BUKOTO COUNTY WEST,BIRIMUMASO  MULINDWA ERINANTO,INDEPENDENT,7910
,BUKOTO COUNTY WEST,MUGABE  OLIVIA,INDEPENDENT,6115
,BUKOTO COUNTY WEST,KAMANZI  FRANCIS,NUP,1001
,BUKOTO COUNTY WEST,SERUWUGE  YASIN,FDC,101
,BUKOTO COUNTY WEST,MUSINGUZI  RONALD,ANT,89
LWENGO,BUKOTO COUNTYSOUTH,KAGABO  TWAHA MZEE,NUP,8883
,BUKOTO COUNTYSOUTH,HAJI KIYIMBA  ABDUL,NRM,6684
,BUKOTO COUNTYSOUTH,SSENTAMU  JULIUS,INDEPENDENT,5621
,BUKOTO COUNTYSOUTH,NAKIMERA  BERNA,INDEPENDENT,3205
LYANTONDE,KABULA COUNTY,ASIIMWE  K ENOSI,NRM,13721
,KABULA COUNTY,WASSWA  ACHILLES KAWOOYA,INDEPENDENT,12373
,KABULA COUNTY,KAKOOZA  JAMES,INDEPENDENT,4379
,KABULA COUNTY,SSEMANDA  MOSES ALI,INDEPENDENT,602
MADI-OKOLLO,LOWER MADI COUNTY,AFIDRA  OLEMA RONALD,NRM,11238
,LOWER MADI COUNTY,OGAMA  ALLI ISMAIL,INDEPENDENT,10568
,LOWER MADI COUNTY,AKUMA  RONALD,DP,152
,LOWER MADI COUNTY,JURUGA  PATRICK,FDC,141
MADI-OKOLLO,UPPER MADI COUNTY,ETUKA  ISAAC JOAKINO,NRM,6954
,UPPER MADI COUNTY,MADIRA  JIMMY,INDEPENDENT,3395
,UPPER MADI COUNTY,DRITO  MARTIN ANDI,INDEPENDENT,2594
,UPPER MADI COUNTY,ATRIA  JACKSON,INDEPENDENT,1215
,UPPER MADI COUNTY,OYUA  CHRIS CHARLES,ANT,805
,UPPER MADI COUNTY,ARUMADRI  KIWAWA GILBERT,INDEPENDENT,574
,UPPER MADI COUNTY,BAMUKE  DERRICK,NUP,450
MANAFWA,BUBULO COUNTY WEST,WERIKHE  PETER CHRISTOPHER,NRM,10339
,BUBULO COUNTY WEST,MATEMBU  WATAKA CHRISS,FDC,9136
,BUBULO COUNTY WEST,NATAKA  MICHAEL RICHARD,INDEPENDENT,6396
,BUBULO COUNTY WEST,SIMIYU  JOHN,INDEPENDENT,4797
,BUBULO COUNTY WEST,WOSERE  ROBERT,NUP,586
,BUBULO COUNTY WEST,BUTITA  PAUL,DP,296
MANAFWA,BUTIRU COUNTY,WAKOOLI  GODFREY,NRM,16070
,BUTIRU COUNTY,TINGU  LORNA MAKUMA SIMIYU,INDEPENDENT,1080
,BUTIRU COUNTY,YIGA  SAMUEL JOEL,NUP,571
,BUTIRU COUNTY,MWALYE  STEVENS,INDEPENDENT,491
MARACHA,MARACHA COUNTY,OGUZU LEE  DENIS,FDC,12496
,MARACHA COUNTY,AGUTA  SAM,NRM,5690
,MARACHA COUNTY,AADROA  ALEX ONZIMA,INDEPENDENT,4866
,MARACHA COUNTY,LETI  YOPHAS,INDEPENDENT,336
MARACHA,MARACHA EAST COUNTY,LEMATIA  RUTH MOLLY ONDORU,NRM,12460
,MARACHA EAST COUNTY,ACIDRI  JAMES,INDEPENDENT,6543
,MARACHA EAST COUNTY,MAWA  JOHN,FDC,2768
,MARACHA EAST COUNTY,AJIDIRU  EMILLY,INDEPENDENT,2178
,MARACHA EAST COUNTY,ONZIMA  SUNDAY,INDEPENDENT,1473
,MARACHA EAST COUNTY,ADIGA  WILFRED LAWRENCE,INDEPENDENT,705
,MARACHA EAST COUNTY,ABITI  EMMANUEL,DP,255
MASAKA,BUKOTO COUNTY CENTRAL,SEBAMALA  RICHARD,DP,9916
,BUKOTO COUNTY CENTRAL,SSEKANDI  EDWARD KIWANUKA,NRM,4902
,BUKOTO COUNTY CENTRAL,KAZIBWE  MAGELLAN,NUP,1701
,BUKOTO COUNTY CENTRAL,SSEREMBA  GODFREY MAYANJA,INDEPENDENT,1017
,BUKOTO COUNTY CENTRAL,DDEMBE  FREDRICK,INDEPENDENT,672
,BUKOTO COUNTY CENTRAL,NAMAGANDA  EVELINE,INDEPENDENT,224
MASAKA,BUKOTO COUNTY EAST,KANYIKE  RONALD EVANS,NUP,8630
,BUKOTO COUNTY EAST,BABIRYE  KITYO SARAH,NRM,5643
,BUKOTO COUNTY EAST,NKOYOOYO  ABDALLAH,INDEPENDENT,2221
,BUKOTO COUNTY EAST,BAYIGA  CISSY OESCHGER,DP,134
,BUKOTO COUNTY EAST,KIZITO  BAKER DAVID,INDEPENDENT,125
,BUKOTO COUNTY EAST,MUWANGUZI  DOMINIC,INDEPENDENT,86
,BUKOTO COUNTY EAST,DDIBA  FAISWALI,INDEPENDENT,60
MASAKA CITY,KIMAANYA-KABONERA DIVISION,BWANIKA  ABED,NUP,15341
,KIMAANYA-KABONERA DIVISION,ASIIMWE  ROBERT,NRM,5864
,KIMAANYA-KABONERA DIVISION,KAYEMBA  GODFREY,FDC,1743
,KIMAANYA-KABONERA DIVISION,MBABAALI  JUDE,DP,688
,KIMAANYA-KABONERA DIVISION,SSIMBWA  JOHN,INDEPENDENT,501
,KIMAANYA-KABONERA DIVISION,LUBYAYI  HASSANE,INDEPENDENT,360
,KIMAANYA-KABONERA DIVISION,ZIKUSOKA  HERBERT,INDEPENDENT,229
MASAKA CITY,NYENDO-MUKUNGWE DIVISION,MPUUGA  MATHIAS,NUP,26810
,NYENDO-MUKUNGWE DIVISION,KIYIMBA  SARAH,NRM,11238
,NYENDO-MUKUNGWE DIVISION,MUKASA  FRED MBIDDE,DP,3513
MASAKA CITY,NYENDO-MUKUNGWE DIVISION,SSEMPA  PETER,INDEPENDENT,1127
,NYENDO-MUKUNGWE DIVISION,SSENYONGA  BADRU ABAASI,JEEMA,720
,NYENDO-MUKUNGWE DIVISION,KISEKKA  NTALE DANIEL,INDEPENDENT,639
,NYENDO-MUKUNGWE DIVISION,SSEKABIRA  MICHAEL,INDEPENDENT,623
,NYENDO-MUKUNGWE DIVISION,KAGIRI  DANIEL,ANT,125
MASINDI,BUJENJE COUNTY,KIIZA  KENNETH NYENDWOHA,INDEPENDENT,16301
,BUJENJE COUNTY,KASUMBA  PATRICK PADDY,NRM,10277
,BUJENJE COUNTY,NTEGEKA  FULGENSIUS,INDEPENDENT,1426
,BUJENJE COUNTY,KYOTASOBORA  PHINEHAS,INDEPENDENT,874
MASINDI,BURULI COUNTY,AKUGIZIBWE  ALED RONALD,INDEPENDENT,8848
,BURULI COUNTY,BINTU  LUKUMU JALIA,INDEPENDENT,8316
,BURULI COUNTY,KABINDI  STEPHEN,NRM,7430
,BURULI COUNTY,BANAGE  FREDRICK BITAMALE,FDC,362
MASINDI,MASINDI MUNICIPALITY,BUSINGE  JOAB,FDC,10440
,MASINDI MUNICIPALITY,KIIZA  MONDAY ERNEST,NRM,10276
,MASINDI MUNICIPALITY,BYAMUKAMA  ROGERS,INDEPENDENT,7031
,MASINDI MUNICIPALITY,KANTI  ROGERS,NUP,1382
MASINDI,MASINDI MUNICIPALITY,TURYHIKAYO  INNOCENT,DP,276
MAYUGE,BUNYA COUNTY EAST,KUBEKETERYA  JAMES,NRM,16641
,BUNYA COUNTY EAST,WAIRA  JAMES KYEWALABYE MAJEGERE SITINGO,INDEPENDENT,10250
,BUNYA COUNTY EAST,MUKWANA  CYRUS,NUP,2201
,BUNYA COUNTY EAST,WESIIRE  YONA,INDEPENDENT,1982
,BUNYA COUNTY EAST,IKOBA  ROGERS,INDEPENDENT,1220
,BUNYA COUNTY EAST,WAMBOGA  GODFREY,INDEPENDENT,764
,BUNYA COUNTY EAST,MWANDHA  CHRISTOPHER,INDEPENDENT,662
,BUNYA COUNTY EAST,WADEBYE  RICHARD,INDEPENDENT,620
,BUNYA COUNTY EAST,MUKUVE  MULENGHI DANIEL,INDEPENDENT,268
,BUNYA COUNTY EAST,BAMULANZEKI  IVAN,FDC,88
MAYUGE,BUNYA COUNTY SOUTH,ISABIRYE  IDDI,NRM,19833
,BUNYA COUNTY SOUTH,NTENDE  ROBERT,INDEPENDENT,14364
,BUNYA COUNTY SOUTH,MPAATA  SALLEH,INDEPENDENT,5613
,BUNYA COUNTY SOUTH,KYEYAGO  JOWALI KAGGWA,INDEPENDENT,828
,BUNYA COUNTY SOUTH,NGOBI  HAMIDUN HAMUZA,ANT,607
,BUNYA COUNTY SOUTH,OWORI  GEOFREY,FDC,544
MAYUGE,BUNYA COUNTY SOUTH,ONDIAL  WILLMAX BRIAN,INDEPENDENT,228
MAYUGE,BUNYA COUNTY WEST,BAGIIRE  AGGREY HENRY,NRM,19312
,BUNYA COUNTY WEST,BIDI  MUSTAPHA,NUP,11567
,BUNYA COUNTY WEST,MUKISA  MOSES MAX,INDEPENDENT,9131
,BUNYA COUNTY WEST,MUBONDE  NASSER,ANT,2144
,BUNYA COUNTY WEST,KAYEGO  AGNES,INDEPENDENT,1955
,BUNYA COUNTY WEST,KYEYAGO  EDWARD,INDEPENDENT,691
MBALE,BUNGOKHO CENTRAL COUNTY,WANDA  RICHARD,NRM,15601
,BUNGOKHO CENTRAL COUNTY,MAUSO  ANDREW,INDEPENDENT,12227
,BUNGOKHO CENTRAL COUNTY,MUKHWANA  ERIC STEPHEN,INDEPENDENT,1202
,BUNGOKHO CENTRAL COUNTY,WANAMAMA  ANTHONY  EDDY,FDC,621
,BUNGOKHO CENTRAL COUNTY,NANGAYI  GUYSON,ANT,117
MBALE,BUNGOKHO COUNTY NORTH,MAGOLO  JOHN FAITH,NRM,6077
,BUNGOKHO COUNTY NORTH,WANYENYA  SHAFIGA,INDEPENDENT,4602
,BUNGOKHO COUNTY NORTH,NALEKA  ABDUALAH,INDEPENDENT,3922
,BUNGOKHO COUNTY NORTH,MUBAJJE  SAM,INDEPENDENT,749
,BUNGOKHO COUNTY NORTH,WAMBEDE  JAMES,FDC,565
MBALE,BUNGOKHO COUNTY NORTH,GUDOI  YAHAYA,INDEPENDENT,373
,BUNGOKHO COUNTY NORTH,WAMBEDE   MOSES,INDEPENDENT,264
MBALE,BUNGOKHO COUNTY SOUTH,WANDWASI  ROBERT,NRM,9842
,BUNGOKHO COUNTY SOUTH,WOKURI  GEOFREY,INDEPENDENT,6763
,BUNGOKHO COUNTY SOUTH,WOSHALE  DAVID,INDEPENDENT,5814
,BUNGOKHO COUNTY SOUTH,NAKHALE  DANIEL,FDC,333
,BUNGOKHO COUNTY SOUTH,MUJASI MASABA  BERNARD ELLY,INDEPENDENT,94
MBALE CITY,INDUSTRIAL DIVISION,MASABA  KARIM,INDEPENDENT,15881
,INDUSTRIAL DIVISION,WEKESA  JOHN WAMBOGO,NRM,8822
,INDUSTRIAL DIVISION,MUTENYO  AUGUSTINE NABWIRA,INDEPENDENT,2481
,INDUSTRIAL DIVISION,NABENDE  ISAAC WALERA,FDC,1984
,INDUSTRIAL DIVISION,MADOI  YASSIN,NUP,1790
,INDUSTRIAL DIVISION,NAMBAFU  GEOFFREY,INDEPENDENT,1272
,INDUSTRIAL DIVISION,MUSAMALI  MARTIN,INDEPENDENT,772
